ts,kind,action,strike,expiry,contracts,price_per_share,spot,iv,delta,slippage,commission,pnl,leaps_id,short_id,reason,cash_after
2021-02-25 15:00:00-05:00,LEAPS,BUY_TO_OPEN,239.46733148193363,2022-08-19 01:00:00-04:00,1,91.87301207763983,312.74,0.3495689926147462,0.7999918345179335,91.87301207763983,1.0,0.0,L0001,,ENTRY_BULL_MODERATE,20719.825780158375
2021-02-25 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,337.2343717346191,2021-03-29 01:00:00-04:00,1,3.8254932598532037,312.74,0.3235679931640626,0.23,3.8254932598532037,1.0,0.0,L0001,S0002,PMCC_OPEN_BULL_MODERATE,21097.549612883842
2021-03-02 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,337.2343717346191,2021-03-29 01:00:00-04:00,1,2.974024210580339,318.37,0.269920004272461,0.22751480422011844,1.7844145263482034,1.0,82.36249040093827,L0001,S0002,PMCC_PROFIT_EARLY,20797.36277729946
2021-03-02 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,338.8272739715576,2021-04-03 01:00:00-04:00,1,3.2732060697708363,318.37,0.269920004272461,0.23,1.963923641862502,1.0,0.0,L0001,S0003,PMCC_OPEN_BULL_MODERATE,21121.71946063468
2021-03-03 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,338.8272739715576,2021-04-03 01:00:00-04:00,1,2.12309790720947,309.17,0.29870400085449217,0.1566369971136674,2.12309790720947,1.0,111.8877183489272,L0001,S0003,PMCC_PROFIT_EARLY,20906.286572006524
2021-03-03 15:00:00-05:00,LEAPS,BUY_TO_OPEN,240.10681134033203,2022-08-25 01:00:00-04:00,1,85.75057801936791,309.17,0.32270700092315674,0.8000065847733706,85.75057801936792,1.0,0.0,L0004,,ENTRY_BULL_MODERATE,12244.478192050365
2021-03-03 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,331.3518483085632,2021-04-04 01:00:00-04:00,1,3.5034541567504647,309.17,0.29870400085449217,0.23,3.5034541567504647,1.0,0.0,L0001,S0005,PMCC_OPEN_BULL_MODERATE,12590.32015356866
2021-03-03 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,331.3518483085632,2021-04-04 01:00:00-04:00,1,3.5034541567504647,309.17,0.29870400085449217,0.23,3.5034541567504647,1.0,0.0,L0004,S0006,PMCC_OPEN_BULL_MODERATE,12936.162115086956
2021-03-04 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,331.3518483085632,2021-04-04 01:00:00-04:00,1,2.8612166402051784,304.09,0.31998399658203125,0.1911112478401279,2.861216640205179,1.0,60.36253501432344,L0001,S0005,PMCC_PROFIT_EARLY,12646.179234426232
2021-03-04 15:00:00-05:00,SHORT_CALL,BUY_TO_CLOSE,331.3518483085632,2021-04-04 01:00:00-04:00,1,2.8612166402051784,304.09,0.31998399658203125,0.1911112478401279,2.861216640205179,1.0,60.36253501432344,L0004,S0006,PMCC_PROFIT_EARLY,12356.196353765508
2021-03-04 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,327.61468098831165,2021-04-05 01:00:00-04:00,1,3.6804625238987114,304.09,0.31998399658203125,0.23,3.6804625238987114,1.0,0.0,L0001,S0007,PMCC_OPEN_BULL_MODERATE,12719.562143631481
2021-03-04 15:00:00-05:00,SHORT_CALL,SELL_TO_OPEN,327.61468098831165,2021-04-05 01:00:00-04:00,1,3.6804625238987114,304.09,0.31998399658203125,0.23,3.6804625238987114,1.0,0.0,L0004,S0008,PMCC_OPEN_BULL_MODERATE,13082.927933497454
